,ID,Driveline,Engine Type,Transmission,Make
1260,2011 Cadillac CTS Sport Sedan Premium AWD,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1262,2011 Toyota Sequoia SR5,Rear-wheel drive,Toyota 4.6L 8 Cylinder 310 hp 327 ft-lbs,6 Speed Automatic Select Shift,Toyota
1263,2011 Toyota Sequoia SR5 4x4,Four-wheel drive,Toyota 4.6L 8 Cylinder 310 hp 327 ft-lbs,6 Speed Automatic Select Shift,Toyota
1264,2011 Toyota Sequoia SR5 5.7L 4x4,Four-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,6 Speed Automatic Select Shift,Toyota
1265,2011 Toyota Sequoia SR5 FFV,Four-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs FFV,6 Speed Automatic Select Shift,Toyota
1266,2011 Toyota Sequoia Limited,Rear-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,6 Speed Automatic Select Shift,Toyota
1267,2011 Toyota Sequoia Limited 4x4,Four-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,6 Speed Automatic Select Shift,Toyota
1268,2011 Toyota Sequoia Limited FFV,Four-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs FFV,6 Speed Automatic Select Shift,Toyota
1269,2011 Toyota Sequoia Platinum,Rear-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,6 Speed Automatic Select Shift,Toyota
1270,2011 Toyota Sequoia Platinum 4x4,Four-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs,6 Speed Automatic Select Shift,Toyota
1271,2011 Toyota Sequoia Platinum FFV,Four-wheel drive,Toyota 5.7L 8 Cylinder 381 hp 401 ft-lbs FFV,6 Speed Automatic Select Shift,Toyota
1272,2010 BMW 328i Convertible,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Manual,BMW Motorrad
1273,2010 BMW 335i Convertible AT,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
1274,2010 BMW 335i Convertible,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Manual,BMW
1275,2010 BMW 328i Convertible AT,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Automatic Select Shift,BMW Motorrad
1276,2009 Infiniti EX35,Rear-wheel drive,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,5 Speed Automatic,Infiniti
1277,2009 Infiniti EX35 AWD,All-wheel drive,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,5 Speed Automatic,Infiniti
1278,2009 Infiniti EX35 Journey,Rear-wheel drive,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,5 Speed Automatic,Infiniti
1279,2009 Infiniti EX35 Journey AWD,All-wheel drive,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,5 Speed Automatic,Infiniti
1280,2011 Mercedes-Benz E550 Cabriolet,Rear-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1281,2011 Mercedes-Benz E350 Cabriolet,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1282,2011 BMW 328i Convertible,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Manual,BMW Motorrad
1283,2011 BMW 335i Convertible AT,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
1284,2011 BMW 328i Convertible AT,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Automatic Select Shift,BMW Motorrad
1285,2011 BMW 335is Convertible,Rear-wheel drive,BMW 3.0L 6 cylinder 320 hp 332 ft-lbs Turbo,6 Speed Manual,BMW
1286,2011 BMW 335i Convertible,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Manual,BMW
1287,2010 Infiniti EX35,Rear-wheel drive,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,5 Speed Automatic,Infiniti
1288,2010 Infiniti EX35 AWD,All-wheel drive,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,5 Speed Automatic,Infiniti
1289,2010 Infiniti EX35 Journey,Rear-wheel drive,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,5 Speed Automatic,Infiniti
1290,2010 Infiniti EX35 Journey AWD,All-wheel drive,Infiniti 3.5L 6 cylinder 297 hp 253 ft-lbs,5 Speed Automatic,Infiniti
1291,2010 Mercedes-Benz E550 Coupe,Rear-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1292,2010 Mercedes-Benz E350 Coupe,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1293,2011 Mercedes-Benz E350 Coupe,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1294,2011 Mercedes-Benz E550 Coupe,Rear-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1295,2010 Chevrolet Corvette Coupe 1LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1296,2010 Chevrolet Corvette Coupe 1LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1297,2010 Chevrolet Corvette Coupe 2LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1298,2010 Chevrolet Corvette Coupe 2LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1299,2010 Chevrolet Corvette Coupe 3LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1300,2010 Chevrolet Corvette Coupe 3LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1301,2010 Chevrolet Corvette Coupe 4LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1302,2010 Chevrolet Corvette Coupe 4LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1303,2010 Mercedes-Benz E350 4Matic Sedan,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1304,2010 Mercedes-Benz E550 4Matic Sedan,All-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1305,2010 Mercedes-Benz E550 Sedan,Rear-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1306,2010 Mercedes-Benz E350 Sedan,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1307,2010 Mercedes-Benz E63 AMG,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,7 Speed Automatic Select Shift,AMG
1308,2010 BMW 328i Coup,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Manual,BMW Motorrad
1309,2010 BMW 335i xDrive Coup AT,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
1310,2010 BMW 328i xDrive Coup,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Manual,BMW Motorrad
1311,2010 BMW 335i Coup AT,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
1312,2010 BMW 335i Coup,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Manual,BMW
1313,2010 BMW 328i Coup AT,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Automatic Select Shift,BMW Motorrad
1314,2010 BMW 328i xDrive Coup AT,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Automatic Select Shift,BMW Motorrad
1315,2010 BMW 335i xDrive Coup,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Manual,BMW
1316,2012 Chevrolet Corvette ZR1 1ZR,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,6 Speed Manual,Chevrolet
1317,2012 Chevrolet Corvette ZR1 3ZR,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,6 Speed Manual,Chevrolet
1318,2011 Chevrolet Corvette ZR1 1ZR,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,6 Speed Manual,Chevrolet
1319,2011 Chevrolet Corvette ZR1 3ZR,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,6 Speed Manual,Chevrolet
1320,2010 Chevrolet Corvette ZR1 1ZR,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,6 Speed Manual,Chevrolet
1321,2010 Chevrolet Corvette ZR1 3ZR,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 638 hp 604 ft-lbs S-charged,6 Speed Manual,Chevrolet
1322,2011 Nissan Sentra SE-R Spec V,Front-wheel drive,Nissan 2.5L 4 cylinder 200 hp 180 ft-lbs,6 Speed Manual,Nissan
1323,2011 Nissan Sentra 2.0,Front-wheel drive,Nissan 2.0L 4 cylinder 140 hp 147 ft-lbs,6 Speed Manual,Nissan
1324,2012 Chevrolet Corvette Grand Sport Coupe 1LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1325,2012 Chevrolet Corvette Grand Sport Coupe 1LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1326,2012 Chevrolet Corvette Grand Sport Coupe 2LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1327,2012 Chevrolet Corvette Grand Sport Coupe 2LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1328,2012 Chevrolet Corvette Grand Sport Coupe 3LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1329,2012 Chevrolet Corvette Grand Sport Coupe 3LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1330,2012 Chevrolet Corvette Grand Sport Coupe 4LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1331,2012 Chevrolet Corvette Grand Sport Coupe 4LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1332,2011 BMW 335i xDrive Coup AT,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
1333,2011 BMW 328i Coup AT,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Automatic Select Shift,BMW Motorrad
1334,2011 BMW 328i xDrive Coup,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Manual,BMW Motorrad
1335,2011 BMW 335i Coup AT,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Automatic Select Shift,BMW
1336,2011 BMW 328i Coup,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Manual,BMW Motorrad
1337,2011 BMW 328i xDrive Coup AT,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6 Speed Automatic Select Shift,BMW Motorrad
1338,2011 BMW 335is Coup,Rear-wheel drive,BMW 3.0L 6 cylinder 320 hp 332 ft-lbs Turbo,6 Speed Manual,BMW
1339,2011 BMW 335i xDrive Coup,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Manual,BMW
1340,2011 BMW 335i Coup,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6 Speed Manual,BMW
1341,2011 Chevrolet Corvette Grand Sport Coupe 1LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1342,2011 Chevrolet Corvette Grand Sport Coupe 1LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1343,2011 Chevrolet Corvette Grand Sport Coupe 2LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1344,2011 Chevrolet Corvette Grand Sport Coupe 2LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1345,2011 Chevrolet Corvette Grand Sport Coupe 3LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1346,2011 Chevrolet Corvette Grand Sport Coupe 3LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1347,2011 Chevrolet Corvette Grand Sport Coupe 4LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1348,2011 Chevrolet Corvette Grand Sport Coupe 4LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1349,2011 Mercedes-Benz E550 Sedan,Rear-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1350,2011 Mercedes-Benz E550 4Matic Sedan,All-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1351,2011 Mercedes-Benz E350 Sedan,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1352,2011 Mercedes-Benz E63 AMG,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,7 Speed Automatic Select Shift,AMG
1353,2011 Mercedes-Benz E350 BlueTEC Sedan,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,7 Speed Automatic Select Shift,Mercedes
1354,2011 Mercedes-Benz E350 4Matic Sedan,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1355,2010 Chevrolet Corvette Grand Sport Coupe 1LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1356,2010 Chevrolet Corvette Grand Sport Coupe 1LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1357,2010 Chevrolet Corvette Grand Sport Coupe 2LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1358,2010 Chevrolet Corvette Grand Sport Coupe 2LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1359,2010 Chevrolet Corvette Grand Sport Coupe 3LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1360,2010 Chevrolet Corvette Grand Sport Coupe 3LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1361,2010 Chevrolet Corvette Grand Sport Coupe 4LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1362,2010 Chevrolet Corvette Grand Sport Coupe 4LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1363,2011 Mercedes-Benz E350 4Matic Wagon,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1364,2010 Mercedes-Benz G550,Four-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1365,2010 Mercedes-Benz G55 AMG,Four-wheel drive,Mercedes-AMG 5.4L 8 Cylinder 500 hp 516 ft-lbs S-Charged,5 Speed Automatic Select Shift,Mercedes-AMG
1366,2011 Mercedes-Benz G550,Four-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7 Speed Automatic Select Shift,Mercedes
1367,2011 Mercedes-Benz G55 4Matic AMG,All-wheel drive,Mercedes-AMG 5.4L 8 Cylinder 500 hp 516 ft-lbs S-Charged,5 Speed Automatic Select Shift,Mercedes-AMG
1368,2012 Chevrolet Corvette Grand Sport Convertible 1LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1369,2012 Chevrolet Corvette Grand Sport Convertible 1LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1370,2012 Chevrolet Corvette Grand Sport Convertible 2LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1371,2012 Chevrolet Corvette Grand Sport Convertible 2LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1372,2012 Chevrolet Corvette Grand Sport Convertible 3LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1373,2012 Chevrolet Corvette Grand Sport Convertible 3LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1374,2012 Chevrolet Corvette Grand Sport Convertible 4LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1375,2012 Chevrolet Corvette Grand Sport Convertible 4LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1376,2011 Chevrolet Corvette Grand Sport Convertible 1LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1377,2011 Chevrolet Corvette Grand Sport Convertible 1LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1378,2011 Chevrolet Corvette Grand Sport Convertible 2LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1379,2011 Chevrolet Corvette Grand Sport Convertible 2LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1380,2011 Chevrolet Corvette Grand Sport Convertible 3LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1381,2011 Chevrolet Corvette Grand Sport Convertible 3LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1382,2011 Chevrolet Corvette Grand Sport Convertible 4LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1383,2011 Chevrolet Corvette Grand Sport Convertible 4LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1384,2010 Chevrolet Corvette Grand Sport Convertible 1LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1385,2010 Chevrolet Corvette Grand Sport Convertible 1LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1386,2010 Chevrolet Corvette Grand Sport Convertible 2LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1387,2010 Chevrolet Corvette Grand Sport Convertible 2LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1388,2010 Chevrolet Corvette Grand Sport Convertible 3LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1390,2010 Chevrolet Corvette Grand Sport Convertible 4LT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Manual,Chevrolet
1391,2010 Chevrolet Corvette Grand Sport Convertible 4LT AT,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6 Speed Automatic,Chevrolet
1392,2010 Cadillac CTS Sport Sedan,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6 Speed Manual,Cadillac
1393,2010 Cadillac CTS Sport Sedan AWD,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6 Speed Automatic,Cadillac
1394,2011 Cadillac Escalade ESV,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,6 Speed Automatic Select Shift,Cadillac
1395,2010 Cadillac CTS Sport Sedan Luxury,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6 Speed Manual,Cadillac
1396,2010 Cadillac CTS Sport Sedan Luxury AWD,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1397,2010 Cadillac CTS Sport Sedan Performance,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1398,2010 Cadillac CTS Sport Sedan Performance AWD,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1399,2010 Cadillac CTS Sport Sedan 3.6L Performance MT,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Manual,Cadillac
1400,2010 Cadillac CTS Sport Sedan 3.6L Performance AWD,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1401,2010 Cadillac CTS Sport Sedan Premium MT,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Manual,Cadillac
1402,2010 Cadillac CTS Sport Sedan Premium AWD,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1403,2010 Cadillac CTS Sport Sedan 3.6L Performance,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1404,2010 Cadillac CTS Sport Sedan Premium,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1405,2011 Mitsubishi Lancer Evolution GSR,All-wheel drive,Mitsubishi 2.0L 4 Cylinder 291 hp 300 ft-lbs Turbo,5 Speed Manual,Mitsubishi
1406,2010 Mitsubishi Lancer Evolution GSR,All-wheel drive,Mitsubishi 2.0L 4 Cylinder 291 hp 300 ft-lbs Turbo,5 Speed Manual,Mitsubishi
1407,2011 Mitsubishi Lancer Sportback ES,Front-wheel drive,Mitsubishi 2.0L 4 Cylinder 148 hp 145 ft-lbs,5 Speed Manual,Mitsubishi
1408,2011 Mitsubishi Lancer Sportback GTS,Front-wheel drive,Mitsubishi 2.4L 4 Cylinder 168 hp 167 ft-lbs,5 Speed Manual,Mitsubishi
1409,2010 Mitsubishi Lancer Sportback GTS,Front-wheel drive,Mitsubishi 2.4L 4 Cylinder 168 hp 167 ft-lbs,5 Speed Manual,Mitsubishi
1410,2011 Mitsubishi Outlander XLS,Front-wheel drive,Mitsubishi 3.0L 6 Cylinder 230 hp 215 ft-lbs,6 Speed Automatic Select Shift,Mitsubishi
1411,2010 Mitsubishi Outlander GT,All-wheel drive,Mitsubishi 3.0L 6 Cylinder 230 hp 215 ft-lbs,6 Speed Automatic Select Shift,Mitsubishi
1412,2010 Mitsubishi Outlander XLS,Front-wheel drive,Mitsubishi 3.0L 6 Cylinder 230 hp 215 ft-lbs,6 Speed Automatic Select Shift,Mitsubishi
1413,2010 Mitsubishi Outlander XLS AWD,All-wheel drive,Mitsubishi 3.0L 6 Cylinder 230 hp 215 ft-lbs,6 Speed Automatic Select Shift,Mitsubishi
1414,2011 Cadillac CTS Coupe,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1415,2011 Cadillac CTS Coupe AWD,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1416,2011 Cadillac CTS Coupe Performance MT,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Manual,Cadillac
1417,2011 Cadillac CTS Coupe Performance,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1418,2011 Cadillac CTS Coupe Performance AWD,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1419,2011 Cadillac CTS Coupe Premium MT,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Manual,Cadillac
1420,2011 Cadillac CTS Coupe Premium,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
1421,2011 Cadillac CTS Coupe Premium AWD,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6 Speed Automatic Select Shift,Cadillac
